-124,-124,175
-122,-126,175
-121,-127,175
-119,-128,175
-118,-130,176
-116,-131,175
-115,-133,176
-113,-135,176
-111,-136,175
-109,-136,174
-107,-137,174
-105,-138,173
-103,-139,173
-101,-140,173
-100,-142,173
-99,-144,175
-97,-145,174
-95,-146,175
-93,-148,175
-92,-149,175
-90,-150,175
-88,-151,175
-86,-151,174
-84,-152,173
-82,-153,173
-79,-153,172
-77,-153,172
-75,-154,171
-73,-155,171
-71,-156,171
-69,-156,170
-67,-157,170
-65,-157,170
-63,-158,170
-62,-160,171
-59,-160,170
-56,-158,168
-54,-156,165
-50,-152,161
-47,-150,157
-45,-148,155
-42,-145,151
-40,-144,150
-38,-143,148
-35,-141,146
-33,-140,144
-31,-137,141
-29,-135,138
-26,-132,134
-24,-131,133
-22,-129,131
-20,-127,129
-18,-123,124
-17,-123,124
-15,-121,122
-13,-119,120
-12,-118,118
-10,-117,117
-9,-116,117
-7,-116,116
-6,-116,116
-4,-116,116
-3,-115,115
-1,-115,115
0,-114,114
0,-109,103
-1,-108,103
-3,-109,103
-4,-109,103
-5,-108,103
-7,-108,103
-8,-108,103
-9,-109,104
-11,-109,104
-12,-109,104
-13,-109,105
-15,-109,105
-16,-109,105
-18,-109,105
-19,-110,106
-21,-110,107
-22,-111,108
-23,-111,108
-25,-111,108
-26,-111,108
-28,-112,110
-30,-112,110
-31,-112,111
-33,-113,112
-34,-113,112
-36,-113,112
-37,-113,113
-39,-112,113
-41,-113,114
-42,-113,115
-44,-114,117
-46,-116,119
-48,-115,119
-49,-115,119
-51,-115,120
-53,-116,121
-55,-117,123
-57,-118,125
-60,-118,126
-61,-118,126
-64,-119,128
-66,-119,130
-68,-120,131
-70,-120,132
-73,-121,134
-74,-121,135
-77,-122,137
-79,-122,139
-82,-123,141
-85,-124,143
-88,-124,145
-90,-124,146
-93,-125,148
-95,-125,150
-99,-127,153
-102,-127,155
-104,-127,157
-108,-129,160
-112,-129,163
-115,-130,165
-119,-131,168
-122,-131,170
-125,-131,172
-127,-131,174
-129,-129,174
-132,-132,173
-130,-134,174
-128,-135,173
-127,-137,174
-125,-138,173
-121,-137,170
-117,-136,167
-114,-135,164
-110,-134,161
-106,-133,158
-103,-132,155
-99,-131,152
-96,-129,150
-93,-129,148
-90,-128,145
-87,-127,143
-84,-125,140
-82,-125,139
-79,-124,137
-76,-124,135
-74,-123,133
-72,-123,132
-69,-121,129
-67,-121,129
-65,-121,127
-63,-121,127
-61,-120,125
-58,-120,124
-56,-119,123
-54,-118,120
-52,-118,120
-50,-117,118
-49,-117,118
-47,-117,117
-45,-116,116
-43,-115,114
-41,-115,114
-39,-114,112
-38,-114,112
-36,-115,112
-35,-114,111
-33,-114,110
-31,-114,110
-30,-113,108
-28,-112,108
-27,-112,107
-25,-110,105
-23,-110,105
-22,-110,104
-20,-109,103
-19,-109,103
-17,-109,102
-16,-109,102
-15,-109,102
-13,-108,101
-12,-108,101
-11,-108,101
-9,-108,101
-8,-107,99
-7,-107,99
-5,-106,99
-4,-105,97
-3,-106,99
-1,-105,97
0,-105,97
0,-105,93
-1,-105,93
-3,-105,93
-4,-105,93
-5,-105,93
-6,-105,93
-8,-105,93
-9,-107,95
-10,-106,94
-12,-106,94
-13,-106,94
-15,-108,96
-16,-107,96
-17,-107,96
-19,-108,97
-20,-108,97
-22,-109,98
-23,-108,98
-24,-109,99
-26,-109,99
-27,-108,99
-29,-109,99
-30,-109,100
-32,-109,101
-33,-110,101
-35,-110,102
-36,-110,103
-38,-111,104
-40,-111,105
-42,-112,105
-43,-112,106
-45,-112,107
-46,-112,107
-48,-112,107
-49,-112,108
-51,-112,109
-53,-113,111
-55,-113,111
-57,-113,112
-59,-114,114
-61,-114,115
-64,-116,117
-65,-115,117
-68,-117,119
-70,-117,121
-72,-117,122
-74,-117,123
-76,-117,124
-79,-118,125
-81,-118,127
-83,-118,127
-86,-118,129
-88,-119,130
-90,-119,132
-93,-119,134
-96,-120,136
-99,-121,138
-102,-121,140
-105,-121,142
-108,-122,144
-111,-123,146
-114,-123,148
-118,-124,152
-123,-126,156
-126,-126,157
-130,-130,159
-129,-132,159
-127,-134,159
-125,-134,158
-122,-135,157
-117,-133,153
-114,-132,150
-110,-131,148
-106,-129,144
-104,-129,143
-100,-128,140
-98,-128,139
-95,-128,138
-93,-129,137
-90,-128,135
-87,-127,133
-84,-125,130
-81,-124,128
-79,-124,127
-76,-124,125
-74,-123,124
-71,-122,122
-69,-122,121
-67,-121,120
-65,-122,119
-62,-120,117
-60,-120,116
-58,-118,114
-56,-118,113
-54,-118,112
-52,-118,111
-50,-117,110
-48,-116,108
-46,-116,108
-44,-115,106
-43,-115,106
-41,-115,106
-39,-115,105
-38,-114,104
-36,-114,103
-34,-113,102
-32,-112,101
-31,-112,100
-29,-111,99
-28,-111,99
-26,-110,97
-25,-110,97
-23,-110,97
-22,-110,97
-20,-109,96
-19,-110,96
-18,-109,95
-16,-109,95
-15,-108,94
-13,-107,93
-12,-108,93
-11,-108,93
-9,-107,93
-8,-107,93
-7,-107,92
-5,-107,92
-4,-106,91
-3,-106,91
-1,-105,91
0,-105,91
0,-104,86
-1,-105,86
-3,-105,86
-4,-105,86
-5,-105,86
-6,-106,87
-8,-106,88
-9,-106,88
-10,-106,88
-12,-106,88
-13,-107,88
-14,-106,88
-16,-107,89
-17,-108,89
-19,-107,89
-20,-107,89
-21,-107,89
-23,-107,90
-24,-107,90
-26,-108,91
-27,-107,91
-28,-108,91
-30,-108,92
-32,-109,93
-33,-109,94
-35,-109,94
-36,-110,95
-38,-110,96
-39,-110,96
-41,-111,97
-43,-110,97
-44,-111,98
-46,-112,100
-48,-112,100
-50,-112,101
-52,-113,102
-54,-114,103
